filepath,crop,disease_raw,environment,phash
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_001.png,Cotton,FW,closed,ab90d20f9e6acc65
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_002.png,Cotton,FW,closed,e86a85a5979c9c99
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_003.png,Cotton,FW,closed,a19e9f819859cbcc
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_004.png,Cotton,FW,closed,e1729636cc49ccb6
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_005.png,Cotton,FW,closed,b18792d89e0dc3ec
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_006.png,Cotton,FW,closed,a1909e8f9859cbe5
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_007.png,Cotton,FW,closed,fbe881978d924a39
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_008.png,Cotton,FW,closed,fe9c81633e2cc11b
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_009.png,Cotton,FW,closed,fe9cc1533e64341c
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_010.png,Cotton,FW,closed,a8f697c9683616d2
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_011.png,Cotton,FW,closed,a8b697c9c90f1cb4
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_012.png,Cotton,FW,closed,f9e3c19c165861e3
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_013.png,Cotton,FW,closed,b2d3d8ccc7cc1893
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_014.png,Cotton,FW,closed,b091cdcec2c60e9f
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_015.png,Cotton,FW,closed,ba62911f8ee1ce19
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_016.png,Cotton,FW,closed,e16a8fa59c987293
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_017.png,Cotton,FW,closed,acb296c9c3c98d9c
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_018.png,Cotton,FW,closed,fb9cc2c32f64303c
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_019.png,Cotton,FW,closed,fe9cc0633c84c39b
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_020.png,Cotton,FW,closed,a636db339890cd99
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_021.png,Cotton,FW,closed,e986d41394e9da69
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_022.png,Cotton,FW,closed,ee7884c0c797936a
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_023.png,Cotton,FW,closed,e16696d29399199d
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_024.png,Cotton,FW,closed,a80b9525d2f29f33
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_025.png,Cotton,FW,closed,a4e39a39c98cd99c
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_026.png,Cotton,FW,closed,aef29590c2cdcb8c
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_027.png,Cotton,FW,closed,b6a39a83cdcccc8c
Z:\Crop Identification\Final Datasets\CLCE\FW\CLCE_FW_028.png,Cotton,FW,closed,e13696c3cb999998
