epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.86114,1.14453,0.71605,1,0.79006,0.000399306,0.000399306,0.000399306
2,7.36823,0.63249,0.85185,1,0.42077,0.000789045,0.000789045,0.000789045
3,11.0227,0.37021,0.91358,1,0.2326,0.00115128,0.00115128,0.00115128
4,14.6323,0.21257,0.95062,1,0.16135,0.00112625,0.00112625,0.00112625
5,18.2932,0.19915,0.93827,1,0.1446,0.001085,0.001085,0.001085
6,21.768,0.15828,0.95062,1,0.08697,0.00104375,0.00104375,0.00104375
7,25.3928,0.1141,0.96296,1,0.09479,0.0010025,0.0010025,0.0010025
8,28.7555,0.13866,0.97531,1,0.10557,0.00096125,0.00096125,0.00096125
9,32.3535,0.09437,0.98765,1,0.04567,0.00092,0.00092,0.00092
10,35.9335,0.09166,0.97531,1,0.1023,0.00087875,0.00087875,0.00087875
11,39.4009,0.10075,0.96296,1,0.11234,0.0008375,0.0008375,0.0008375
12,43.178,0.10071,0.98765,1,0.07095,0.00079625,0.00079625,0.00079625
13,46.6753,0.07219,0.97531,1,0.06078,0.000755,0.000755,0.000755
14,50.1952,0.05909,1,1,0.01961,0.00071375,0.00071375,0.00071375
15,53.6374,0.0465,0.98765,1,0.03645,0.0006725,0.0006725,0.0006725
16,57.1518,0.05068,0.97531,1,0.06635,0.00063125,0.00063125,0.00063125
17,60.7327,0.04116,1,1,0.01819,0.00059,0.00059,0.00059
18,64.2954,0.03903,1,1,0.01166,0.00054875,0.00054875,0.00054875
19,67.9344,0.04383,1,1,0.01624,0.0005075,0.0005075,0.0005075
20,71.5125,0.03376,0.98765,1,0.03748,0.00046625,0.00046625,0.00046625
21,74.9273,0.04359,0.97531,1,0.07269,0.000425,0.000425,0.000425
22,78.2646,0.04074,0.97531,1,0.05857,0.00038375,0.00038375,0.00038375
23,81.6917,0.02091,0.97531,1,0.03938,0.0003425,0.0003425,0.0003425
24,85.1204,0.03939,0.97531,1,0.02894,0.00030125,0.00030125,0.00030125
25,88.6383,0.01832,0.98765,1,0.02135,0.00026,0.00026,0.00026
26,92.1458,0.02652,0.97531,1,0.03576,0.00021875,0.00021875,0.00021875
27,95.5353,0.02441,0.98765,1,0.02805,0.0001775,0.0001775,0.0001775
28,99.2541,0.01438,0.98765,1,0.02734,0.00013625,0.00013625,0.00013625
29,102.732,0.01976,0.98765,1,0.02782,9.5e-05,9.5e-05,9.5e-05
30,106.226,0.0311,0.98765,1,0.04419,5.375e-05,5.375e-05,5.375e-05
