filepath,crop,disease_raw,environment,phash,disease
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLCE\FW\CLCE_FW_001.png,Cotton,FW,closed,ab90d20f9e6acc65,Fusarium Wilt
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLCE\FW\CLCE_FW_002.png,Cotton,FW,closed,e86a85a5979c9c99,Fusarium Wilt
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLCE\FW\CLCE_FW_003.png,Cotton,FW,closed,a19e9f819859cbcc,Fusarium Wilt
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLCE\FW\CLCE_FW_004.png,Cotton,FW,closed,e1729636cc49ccb6,Fusarium Wilt
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLCE\FW\CLCE_FW_005.png,Cotton,FW,closed,b18792d89e0dc3ec,Fusarium Wilt
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLCE\FW\CLCE_FW_006.png,Cotton,FW,closed,a1909e8f9859cbe5,Fusarium Wilt
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLCE\FW\CLCE_FW_007.png,Cotton,FW,closed,fbe881978d924a39,Fusarium Wilt
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLCE\FW\CLCE_FW_008.png,Cotton,FW,closed,fe9c81633e2cc11b,Fusarium Wilt
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLCE\FW\CLCE_FW_009.png,Cotton,FW,closed,fe9cc1533e64341c,Fusarium Wilt
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLCE\FW\CLCE_FW_010.png,Cotton,FW,closed,a8f697c9683616d2,Fusarium Wilt
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLCE\FW\CLCE_FW_011.png,Cotton,FW,closed,a8b697c9c90f1cb4,Fusarium Wilt
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLCE\FW\CLCE_FW_012.png,Cotton,FW,closed,f9e3c19c165861e3,Fusarium Wilt
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLCE\FW\CLCE_FW_013.png,Cotton,FW,closed,b2d3d8ccc7cc1893,Fusarium Wilt
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLCE\FW\CLCE_FW_014.png,Cotton,FW,closed,b091cdcec2c60e9f,Fusarium Wilt
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLCE\FW\CLCE_FW_015.png,Cotton,FW,closed,ba62911f8ee1ce19,Fusarium Wilt
