filepath,crop,disease_raw,environment,phash,disease
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\GLCDfGLUE\ER\GLCDFGLUE_ER_073.jpg,Groundnut,ER,derived,9c5223aac73cc5ba,Rust
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\GLCDfGLUE\ER\GLCDFGLUE_ER_074.jpg,Groundnut,ER,derived,c0da3de5c504abba,Rust
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\GLCDfGLUE\ER\GLCDFGLUE_ER_075.jpg,Groundnut,ER,derived,dee83e107f22701d,Rust
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\GLCDfGLUE\ER\GLCDFGLUE_ER_076.jpg,Groundnut,ER,derived,94f26e35b23e1319,Rust
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\GLCDfGLUE\ER\GLCDFGLUE_ER_077.jpg,Groundnut,ER,derived,916a29e8fe8de095,Rust
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\GLCDfGLUE\ER\GLCDFGLUE_ER_078.jpg,Groundnut,ER,derived,98522bbac734c55e,Rust
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\GLCDfGLUE\ER\GLCDFGLUE_ER_079.jpg,Groundnut,ER,derived,99522bb18734d55e,Rust
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\GLCDfGLUE\ER\GLCDFGLUE_ER_080.jpg,Groundnut,ER,derived,9c73a33dc40cecd2,Rust
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\GLCDfGLUE\ER\GLCDFGLUE_ER_081.jpg,Groundnut,ER,derived,cd132ef496e49964,Rust
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\GLCDfGLUE\ER\GLCDFGLUE_ER_082.jpg,Groundnut,ER,derived,9d71222ee40f5ed4,Rust
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\GLCDfGLUE\ER\GLCDFGLUE_ER_083.jpg,Groundnut,ER,derived,9771a30eed881fd0,Rust
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\GLCDfGLUE\ER\GLCDFGLUE_ER_084.jpg,Groundnut,ER,derived,9cf1222ee40deed1,Rust
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\GLCDfGLUE\ER\GLCDFGLUE_ER_085.jpg,Groundnut,ER,derived,cd1b2ef4bae49844,Rust
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\GLCDfGLUE\ER\GLCDFGLUE_ER_086.jpg,Groundnut,ER,derived,cd0676e99049bccb,Rust
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\GLCDfGLUE\ER\GLCDFGLUE_ER_087.jpg,Groundnut,ER,derived,c9076effd26090e8,Rust
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\GLCDfGLUE\ER\GLCDFGLUE_ER_088.jpg,Groundnut,ER,derived,cd076eeff2609061,Rust
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\GLCDfGLUE\ER\GLCDFGLUE_ER_089.jpg,Groundnut,ER,derived,994e79a1afb18c31,Rust
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\GLCDfGLUE\ER\GLCDFGLUE_ER_090.jpg,Groundnut,ER,derived,d84e798daba54c15,Rust
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\GLCDfGLUE\ER\GLCDFGLUE_ER_091.jpg,Groundnut,ER,derived,98423babaea5c7a8,Rust
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\GLCDfGLUE\ER\GLCDFGLUE_ER_092.jpg,Groundnut,ER,derived,8c1b3ee4fb64c10e,Rust
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\GLCDfGLUE\ER\GLCDFGLUE_ER_093.jpg,Groundnut,ER,derived,cd0772fd9241905f,Rust
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\GLCDfGLUE\ER\GLCDFGLUE_ER_094.jpg,Groundnut,ER,derived,8c1b2cf4fae49964,Rust
