filepath,crop,disease_raw,environment,phash,disease
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0295.JPG,Pepper Bell,BS,closed,fa1ba4319ca7c1c6,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0296.JPG,Pepper Bell,BS,closed,ee1eb14313ea48b5,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0297.JPG,Pepper Bell,BS,closed,eee3b1bc1395484a,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0298.JPG,Pepper Bell,BS,closed,eb96b7388e8d9888,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0299.JPG,Pepper Bell,BS,closed,aa33f14a9e2d48f1,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0300.JPG,Pepper Bell,BS,closed,aaccf1b59ed2480e,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0301.JPG,Pepper Bell,BS,closed,ee37b44082a71b9e,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0302.JPG,Pepper Bell,BS,closed,bb9da1e2d7090e34,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0303.JPG,Pepper Bell,BS,closed,eec8f4bf82581b21,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0304.JPG,Pepper Bell,BS,closed,d7abe0b587d60a88,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0305.JPG,Pepper Bell,BS,closed,f714e84a87299e65,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0306.JPG,Pepper Bell,BS,closed,be3f917050c361dc,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0307.JPG,Pepper Bell,BS,closed,bfe4c11bc03a8579,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0308.JPG,Pepper Bell,BS,closed,92cb3f2ce85225e3,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0309.JPG,Pepper Bell,BS,closed,ffeac00fdc3480b2,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0310.JPG,Pepper Bell,BS,closed,aa4095ad899ef59c,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0311.JPG,Pepper Bell,BS,closed,ff15c0f0dccb804d,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0312.JPG,Pepper Bell,BS,closed,ffe0a117d89a8949,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0313.JPG,Pepper Bell,BS,closed,ff1fa1e8d0658982,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0314.JPG,Pepper Bell,BS,closed,f1e6e2898f58b123,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0315.JPG,Pepper Bell,BS,closed,a44cb723daf2e489,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0316.JPG,Pepper Bell,BS,closed,f119e2348fa7b11c,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0317.JPG,Pepper Bell,BS,closed,a9e997c01e18b71b,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0318.JPG,Pepper Bell,BS,closed,fc43426a4bb2e2b9,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0319.JPG,Pepper Bell,BS,closed,a916052f1c67b7e4,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0320.JPG,Pepper Bell,BS,closed,be99b419962b0f25,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0321.JPG,Pepper Bell,BS,closed,fdb0a017857a8ea9,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0322.JPG,Pepper Bell,BS,closed,bed1c1c39e9cc82c,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PBCE\BS\PBCE_BS_0323.JPG,Pepper Bell,BS,closed,ab48f0f6d4810d5f,Bacterial Spot
