filepath,crop,disease_raw,environment,phash,pest
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_01.jpg,Cotton,A,uncontrolled,9e87c71fe05503a6,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_02.jpg,Cotton,A,uncontrolled,b51654024ab8ff9d,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_03.jpg,Cotton,A,uncontrolled,80e83dad15975daa,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_04.jpg,Cotton,A,uncontrolled,c38c3ffec0b0e883,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_05.jpg,Cotton,A,uncontrolled,cb159558d46d5655,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_06.jpg,Cotton,A,uncontrolled,861ef761f3c3a068,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_07.jpg,Cotton,A,uncontrolled,80fd2fc87384791e,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_08.jpg,Cotton,A,uncontrolled,f0c3ce3da38e2549,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_09.jpg,Cotton,A,uncontrolled,d2de61b4164bb545,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_10.jpg,Cotton,A,uncontrolled,b0d11b2352d37796,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_11.jpg,Cotton,A,uncontrolled,d6e832c53ff2c007,Aphid
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\CLUE\A\CLUE_A_12.jpg,Cotton,A,uncontrolled,ccced8991886b23f,Aphid
