filepath,crop,disease_raw,environment,phash,disease
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PLUE\B\PLUE_B_394.JPG,Potato,B,uncontrolled,c54abdd30af4ce28,Bacteria
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PLUE\B\PLUE_B_395.JPG,Potato,B,uncontrolled,ce1748f2c72b8356,Bacteria
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PLUE\B\PLUE_B_396.JPG,Potato,B,uncontrolled,c636ed558ce542f0,Bacteria
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PLUE\B\PLUE_B_397.JPG,Potato,B,uncontrolled,dd4ae384d55aa855,Bacteria
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PLUE\B\PLUE_B_398.JPG,Potato,B,uncontrolled,dc2742d24be9b8a5,Bacteria
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PLUE\B\PLUE_B_399.JPG,Potato,B,uncontrolled,c44df0b548f8d5ac,Bacteria
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PLUE\B\PLUE_B_400.JPG,Potato,B,uncontrolled,d5688aa4454d6ddb,Bacteria
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PLUE\B\PLUE_B_401.JPG,Potato,B,uncontrolled,eb559f0f4b1a5403,Bacteria
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PLUE\B\PLUE_B_402.JPG,Potato,B,uncontrolled,e59971b45669c853,Bacteria
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PLUE\B\PLUE_B_403.JPG,Potato,B,uncontrolled,d03f70ed164cb592,Bacteria
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PLUE\B\PLUE_B_404.JPG,Potato,B,uncontrolled,b30c6b068db37786,Bacteria
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PLUE\B\PLUE_B_405.JPG,Potato,B,uncontrolled,98076e5c831c7773,Bacteria
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PLUE\B\PLUE_B_406.JPG,Potato,B,uncontrolled,9a0461f741ea1dfa,Bacteria
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PLUE\B\PLUE_B_407.JPG,Potato,B,uncontrolled,e1cc0a931facdd32,Bacteria
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PLUE\B\PLUE_B_408.JPG,Potato,B,uncontrolled,e7eb6594c00b16ce,Bacteria
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PLUE\B\PLUE_B_409.JPG,Potato,B,uncontrolled,f2cbd52226d69c98,Bacteria
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PLUE\B\PLUE_B_410.JPG,Potato,B,uncontrolled,93eea01d17e5d194,Bacteria
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PLUE\B\PLUE_B_411.JPG,Potato,B,uncontrolled,fac46b39950f0e34,Bacteria
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PLUE\B\PLUE_B_412.JPG,Potato,B,uncontrolled,aeb34f5642d4e0f0,Bacteria
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PLUE\B\PLUE_B_413.JPG,Potato,B,uncontrolled,f374b6e71544238c,Bacteria
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PLUE\B\PLUE_B_414.JPG,Potato,B,uncontrolled,fca9b68c921cd835,Bacteria
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\PLUE\B\PLUE_B_415.JPG,Potato,B,uncontrolled,fc7986a62762a391,Bacteria
