filepath,crop,disease_raw,environment,phash,disease
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0124.JPG,Tomato,BS,uncontrolled,efc1c50ada34d2b2,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0125.JPG,Tomato,BS,uncontrolled,db8d2df6844a32c9,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0126.JPG,Tomato,BS,uncontrolled,ad179278c1e48f96,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0127.JPG,Tomato,BS,uncontrolled,a175fccaf4c0940f,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0128.JPG,Tomato,BS,uncontrolled,9fce68b48760b24b,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0129.JPG,Tomato,BS,uncontrolled,bf30b01ad12fc15b,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0130.JPG,Tomato,BS,uncontrolled,ff9c30e309da8c0d,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0131.JPG,Tomato,BS,uncontrolled,e9b197ca99cc9449,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0132.JPG,Tomato,BS,uncontrolled,fa2f93198760c663,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0133.JPG,Tomato,BS,uncontrolled,b8b094dac9cdc666,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0134.JPG,Tomato,BS,uncontrolled,ffa0809d981fe21e,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0135.JPG,Tomato,BS,uncontrolled,fe14c05ac1cccf69,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0136.JPG,Tomato,BS,uncontrolled,fca1c65f8ac21d4a,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0137.JPG,Tomato,BS,uncontrolled,ae12947b9b21db34,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0138.JPG,Tomato,BS,uncontrolled,ac36d3d9c69d0c70,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0139.JPG,Tomato,BS,uncontrolled,e9a397da1cc9894c,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0140.JPG,Tomato,BS,uncontrolled,feb1d01bc9488f64,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0141.JPG,Tomato,BS,uncontrolled,fa3a89c925ed254c,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0142.JPG,Tomato,BS,uncontrolled,8b8c3d40742fe23f,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0143.JPG,Tomato,BS,uncontrolled,abe4958ed438927c,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0144.JPG,Tomato,BS,uncontrolled,ffb0c04287c2dc8f,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0145.JPG,Tomato,BS,uncontrolled,bac3c74e8c3cd02b,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0146.JPG,Tomato,BS,uncontrolled,abb4d45a896dc4e4,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0147.JPG,Tomato,BS,uncontrolled,ebe08716d2989b99,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0148.JPG,Tomato,BS,uncontrolled,ed0de17a8fe19806,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0149.JPG,Tomato,BS,uncontrolled,bab0c64bcb699c2c,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0150.JPG,Tomato,BS,uncontrolled,ffaca0d482e2950f,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0151.JPG,Tomato,BS,uncontrolled,8cc5d026733bce39,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0152.JPG,Tomato,BS,uncontrolled,f981971a88cacf69,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0153.JPG,Tomato,BS,uncontrolled,bbc3d41e19698d46,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0154.JPG,Tomato,BS,uncontrolled,abe49452d20bc9bd,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0155.JPG,Tomato,BS,uncontrolled,bc8033bf58b84dd1,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0156.JPG,Tomato,BS,uncontrolled,9c58d02d27f36743,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0157.JPG,Tomato,BS,uncontrolled,aef0c34e9ccc9968,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0158.JPG,Tomato,BS,uncontrolled,8ffd34ce18d401ea,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0159.JPG,Tomato,BS,uncontrolled,9af361a7c638c46c,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0160.JPG,Tomato,BS,uncontrolled,feb6c0588b4d95c2,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0161.JPG,Tomato,BS,uncontrolled,a816dd8fc2798578,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0162.JPG,Tomato,BS,uncontrolled,fab1c04b8dcc9c4e,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0163.JPG,Tomato,BS,uncontrolled,b9e616da690c722d,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0164.JPG,Tomato,BS,uncontrolled,eeb1c05382c69fca,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0165.JPG,Tomato,BS,uncontrolled,faa1c1578ec29c69,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0166.JPG,Tomato,BS,uncontrolled,fda0e117558ac687,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0167.JPG,Tomato,BS,uncontrolled,f8b0c1439fcbdc05,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0168.JPG,Tomato,BS,uncontrolled,a9f09627da36ca34,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0169.JPG,Tomato,BS,uncontrolled,aee5a5d69a889c85,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0170.JPG,Tomato,BS,uncontrolled,aeb4c64a9f7850a9,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0171.JPG,Tomato,BS,uncontrolled,aed133678bb64c88,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0172.JPG,Tomato,BS,uncontrolled,acfc905be330a627,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0173.JPG,Tomato,BS,uncontrolled,9912a96d16f46e4b,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0174.JPG,Tomato,BS,uncontrolled,80ef3fd07093615b,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0175.JPG,Tomato,BS,uncontrolled,aab5bd4290638377,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0176.JPG,Tomato,BS,uncontrolled,bbb4d24a8d0bd22d,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0177.JPG,Tomato,BS,uncontrolled,fe99c0708ec39cac,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0178.JPG,Tomato,BS,uncontrolled,fc23801e876bcfc8,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0179.JPG,Tomato,BS,uncontrolled,f07063e3879cca63,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0180.JPG,Tomato,BS,uncontrolled,a8b4d64a932fd62c,Bacterial Spot
Z:\Projects\Smart-Farming\Datasets\final_combined_datasets\TLCE\BS\TLCE_BS_0181.JPG,Tomato,BS,uncontrolled,eac7841e9a19d939,Bacterial Spot
