epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.21854,1.14453,0.71605,1,0.79006,0.000399306,0.000399306,0.000399306
2,9.10839,0.63249,0.85185,1,0.42077,0.000789045,0.000789045,0.000789045
3,12.8322,0.37021,0.91358,1,0.2326,0.00115128,0.00115128,0.00115128
4,16.4022,0.21257,0.95062,1,0.16135,0.00112625,0.00112625,0.00112625
5,19.978,0.19915,0.93827,1,0.1446,0.001085,0.001085,0.001085
6,23.3556,0.15828,0.95062,1,0.08697,0.00104375,0.00104375,0.00104375
7,26.9186,0.1141,0.96296,1,0.09479,0.0010025,0.0010025,0.0010025
8,30.3368,0.13866,0.97531,1,0.10557,0.00096125,0.00096125,0.00096125
9,33.7731,0.09437,0.98765,1,0.04567,0.00092,0.00092,0.00092
10,37.1861,0.09166,0.97531,1,0.1023,0.00087875,0.00087875,0.00087875
11,40.5122,0.10075,0.96296,1,0.11234,0.0008375,0.0008375,0.0008375
12,43.8587,0.10071,0.98765,1,0.07095,0.00079625,0.00079625,0.00079625
13,47.2879,0.07219,0.97531,1,0.06078,0.000755,0.000755,0.000755
14,50.6318,0.05909,1,1,0.01961,0.00071375,0.00071375,0.00071375
15,54.0565,0.0465,0.98765,1,0.03645,0.0006725,0.0006725,0.0006725
16,57.6762,0.05068,0.97531,1,0.06635,0.00063125,0.00063125,0.00063125
17,61.0452,0.04116,1,1,0.01819,0.00059,0.00059,0.00059
18,64.4954,0.03903,1,1,0.01166,0.00054875,0.00054875,0.00054875
19,67.9799,0.04383,1,1,0.01624,0.0005075,0.0005075,0.0005075
20,71.3602,0.03376,0.98765,1,0.03748,0.00046625,0.00046625,0.00046625
21,74.7952,0.04359,0.97531,1,0.07269,0.000425,0.000425,0.000425
22,78.0942,0.04074,0.97531,1,0.05857,0.00038375,0.00038375,0.00038375
23,81.4135,0.02091,0.97531,1,0.03938,0.0003425,0.0003425,0.0003425
24,84.7926,0.03939,0.97531,1,0.02894,0.00030125,0.00030125,0.00030125
25,88.0814,0.01832,0.98765,1,0.02135,0.00026,0.00026,0.00026
26,91.3992,0.02652,0.97531,1,0.03576,0.00021875,0.00021875,0.00021875
27,94.6804,0.02441,0.98765,1,0.02805,0.0001775,0.0001775,0.0001775
28,98.0378,0.01438,0.98765,1,0.02734,0.00013625,0.00013625,0.00013625
29,101.343,0.01976,0.98765,1,0.02782,9.5e-05,9.5e-05,9.5e-05
30,104.681,0.0311,0.98765,1,0.04419,5.375e-05,5.375e-05,5.375e-05
